title,artist,cluster_id
Diamonds Are A Girl's Best Friend,Gloria De Haven,1
Gotta Let It Go,Elva Hsiao,2
Paint It Black,Chris Farlowe,3
Requiem Mass_ K. 626_ 1791: Agnus Dei (Larghetto) (Mozart),Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N,4
Don't Owe Me Nothin',Sticky Fingaz & Omar Epps,5
The Matter With You (Part I_ Ii_ Iii),Avril,6
Lose Your Money,Delbert McClinton,7
A New Heart,Michael Whalen,8
Cherry Pie,Warrant,9
Werther (1997 Digital Remaster)_ PREMIER ACTE/ACT ONE/ERSTES AKT: Mon âme a reconnu votre âme(Werther/Charlotte),Alfredo Kraus/Tatiana Troyanos/London Philharmonic Orchestra/Michel Plasson,10
Wind In The Wire (Album Version),Randy Travis,11
Un Garcon Pas Comme Les Autres (Ziggy),Céline Dion,12
Round and Round,Otis Taylor,13
Happy Valentine's Day,OutKast,0
Water Is Alright In Tay,The Clancy Brothers,14
Genuine,Five Fingers of Funk,15
Just A Closer Walk With Thee,Andy Griffith,16
Second Hand Life,Joe Lynn Turner,17
See That Girl,Righteous Brothers,18
Up All Night - Remix,Laron aka Swan featuring Alexander East,19
