title,artist,cluster_id
Santa Claus Is Coming To Town,Skeeter Davis,7
Signapur,In Extremo,2
Posterchild for Tragedy,Sugarbomb,19
Matter Of Fact,Love Jones,18
Let's Plan A Robbery,Three 6 Mafia,3
History Of Jody,Guitar Shorty,13
Juneau [Live],Funeral For A Friend,5
Handel: Alcina: Tornami a vagheggiar,Joan Sutherland,6
Wildflowers (Album Version),Tom Petty,3
Come All Over Me,Groove Karma,12
Everyday,Bebe Winans / Stephanie Mills,8
Fire,Steve Vai,10
Sometimes (LP Version),Doug Sahm,11
Who In the World (Album Version),Babbie Mason,11
Quarter P.O.D.,Assassin,4
Red River Falling /O rubor sanguinis,Richard Souther,8
Devil Pickney,Sugar Minott,18
Heaven Stood Still,Mink DeVille,9
"Pli Selon Pli (\"fold according to fold\")/IV.  Improvisation sur Mallarmé III",Pierre Boulez,13
Noe Cuando El Diluvio (Sevillanas Biblicas),Rocio Jurado,7
All I Ever,Ms. Dynamite,4
Rafaniello,99 Posse,7
Put Him Out,Ms. Dynamite / Bounty Killer,5
Girl by the Lake,Max Stalling,3
You're Laughing Now,Jazz Gillum,6
Set The World On Fire,Britt Nicole,10
My Friend the Blind,Workhorse,1
Revival In The Land (Album),The Nelons,19
Always And Forever (Bff)  (Power Album Version),Raze,13
In My Dreams,Lionel Richie,3
The Tarnished Angels (remastered),Fehlfarben,2
Man Man,Jacky Cheung,8
I'm So Happy Now (Single Version),The Rascals,11
Down South,Sophie Tucker,6
I Say No,Mighty Diamonds,18
Sporting Life Blues (Album Version),J.J. Cale & Eric Clapton,3
Sera Cuestion De Conversar,Leonardo Favio,8
Ti Patheno,Yiannis Tassios,2
From The Ritz To The Rubble,Arctic Monkeys,2
Dirty Dancer  (LP Version),MICHAEL WHITE,2
Ali Ba Ba,Jackie Edwards,19
Panama (Album Version),Van Halen,1
Azzurro,Jaime Urrutia,19
I've Got A Thing About You Baby (Album Version),Tony Joe White,4
Sometimes I,Plasmatics,12
Moore Street Girls,The Elders,2
How Bad Do You Want It,Mark Wills,19
Bullet Proof ... I Wish I Was (Acoustic),Radiohead,8
Compatible,Tanika Turner,18
Ole Ola,Grupo Batuque,7
Je me sens libre,Yvette,14
Cuts (Bobby's Still In Williamsburg),Computer Paul,14
Un ballo in maschera (2002 Digital Remaster)_ Act 2: Oh_ qual soave brivido (Riccardo/Amelia),Maria Callas/Giuseppe di Stefano/Orchestra del Teatro alla Scala_ Milano/Gianandrea Gavazzeni,6
Petticoat,The Weegs,2
Tora,POLINA,12
San Geng Ye Ban,Sandy Lam,4
Get It Together,Beastie Boys,7
Adelante,Isabel Pantoja,8
02'-15',Karlheinz Stockhausen,15
Makin' Believe,Kitty Wells,6
Why Do I,FFH,12
Morse,Gorki,3
Trust In The Lord,Lynn August,7
Just Say Yes,Snow Patrol,2
Shaggy Dog Songs,The Highwaymen,0
Three Romances_ Op. 22: III,Double Image,9
Eriatarka,The Mars Volta,2
A Closure in Infinity,Goatwhore,1
Under The Bayou Moon,Bob Cheevers,19
When Jesus Comes Calling For Me,Dolly Parton,8
It's All Because,Smash Palace,2
With Tears In My Eyes,Wesley Tuttle,6
2.000 Kilometros,David Summers,3
Is It A Sin,Deepest Blue,5
What You Gonna Do - Original,Chris Farlowe,18
He Wasn't Man Enough,Toni Braxton,5
Everyday,James Taylor,18
Parchman Farm (LP Version),Cactus,12
Dik N Ballz,DJ Deeon,14
Simple Communication,Jimmy Riley,4
Aloha,Brice Kapel,7
Hello,Jan Wayne,14
Take It,Cassidy,4
Love Ain't Nothing But a Business Goin On,Junior Parker,18
The Cross That Bears His Name,Cheri Keaggy,10
You Made Me The Thief Of Your Heart,The Shamrock Singers,10
Vals '89,Manolis Famellos & I Podilates,3
Rapture (Us Disco Version) (1999 Digital Remaster),Blondie,12
Ammohostos,George Dalaras,8
La vérité,Annie Blanchard,10
In the Wordless Chamber,Emperor,1
Ghost of the Ocean (Live),Uriah Heep,2
Garfield - A Tail Of Two Kitties: Mirror Dance,GARFIELD,0
Belly Dancer (Bananza) Remix ft. Kardinal Offishall,Akon / Kardinal Offishall,4
Me Recuso,Gal Costa,14
Deep Blue Sea (Daniel Rossen home recording),Grizzly Bear,8
Un Petit Cabanon Pas Plus Grand Qu'Un Mouchoir De Poche,Darcelys,6
Maria Morena,André Verchuren,11
Lametavolante,Facto Delafe y las flores azules,17
